drug_name,list_of_conditions,inn_name,brand_names,type_of_action
trifluoperazine,depression,trifluoperazine,stelazine fte,inhibitor
trifluoperazine,anxiety,trifluoperazine,stelazine fte,inhibitor
alprazolam,anxiety,alprazolam,xanax,agonist
alprazolam,panic disorders,alprazolam,xanax,agonist
alprazolam,anxiety,alprazolam,niravam,agonist
alprazolam,panic disorders,alprazolam,niravam,agonist
bromazepam,anxiety,bromazepam,bromopyrazine,binder
bromazepam,panic disorders,bromazepam,bromopyrazine,binder
bromazepam,insomnia,bromazepam,bromopyrazine,binder
bromazepam,alcohol addiction,bromazepam,bromopyrazine,binder
bromazepam,anxiety,bromazepam,,binder
bromazepam,panic disorders,bromazepam,,binder
bromazepam,insomnia,bromazepam,,binder
bromazepam,alcohol addiction,bromazepam,,binder
buspirone,depression,buspirone,buspar,agonist
buspirone,anxiety,buspirone,buspar,agonist
butalbital,analgesic,butalbital,vtol*zebutal*vanatol s*trianal*orbivan*fioricet with codeine*fioricet*fiorinal with codeine*butapap*fiorinal*ascomp*trianal c*tencon*bupap*esgic,antagonist
butalbital,analgesic,butalbital,allzital*vanatol,antagonist
chlordiazepoxide,anxiety,chlordiazepoxide,librax,modulator
chlordiazepoxide,alcohol addiction,chlordiazepoxide,librax,modulator
chlordiazepoxide,anxiety,chlordiazepoxide,chlorax,modulator
chlordiazepoxide,alcohol addiction,chlordiazepoxide,chlorax,modulator
chlormezanone,anxiety,"chlormethazanone
chlormezanona
chlormezanone
chlormézanone
chlormezanonum
clormezanona",,agonist
clonazepam,panic disorders,clonazepam,klonopin,agonist
clonazepam,seizures,clonazepam,klonopin,agonist
clonazepam,panic disorders,clonazepam,clonapam* rivotril,agonist
clonazepam,seizures,clonazepam,clonapam* rivotril,agonist
clorazepic acid,anxiety,clorazepic acid,clorazepate dipotassium,modulator
clorazepic acid,seizures,clorazepic acid,clorazepate dipotassium,modulator
clorazepic acid,alcohol addiction,clorazepic acid,clorazepate dipotassium,modulator
clotiazepam,anxiety,"clotiazepam
clotiazepamum",rizen,agonist
clotiazepam,anxiety,"clotiazepam
clotiazepamum",clozan,agonist
clotiazepam,anxiety,"clotiazepam
clotiazepamum",trecalmo,agonist
clotiazepam,anxiety,"clotiazepam
clotiazepamum",distensan,agonist
clotiazepam,anxiety,"clotiazepam
clotiazepamum",rize,agonist
clotiazepam,anxiety,"clotiazepam
clotiazepamum",veratran,agonist
diazepam,anxiety,diazepam,diastat,agonist
diazepam,alcohol addiction,diazepam,diastat,agonist
diazepam,anxiety,diazepam,valium,agonist
diazepam,alcohol addiction,diazepam,valium,agonist
diazepam,anxiety,diazepam,valtoco 5 mg dose kit,agonist
diazepam,alcohol addiction,diazepam,valtoco 5 mg dose kit,agonist
lorazepam,depression,lorazepam,loreev,modulator
lorazepam,anxiety,lorazepam,loreev,modulator
lorazepam,epilepsy,lorazepam,loreev,modulator
lorazepam,insomnia,lorazepam,loreev,modulator
lorazepam,anesthetic,lorazepam,loreev,modulator
lorazepam,depression,lorazepam,ativan,modulator
lorazepam,anxiety,lorazepam,ativan,modulator
lorazepam,epilepsy,lorazepam,ativan,modulator
lorazepam,insomnia,lorazepam,ativan,modulator
lorazepam,anesthetic,lorazepam,ativan,modulator
meprobamate,anxiety,meprobamate,equagesic,inhibitor
meprobamate,anxiety,meprobamate,equagesic,stimulator
meprobamate,anxiety,meprobamate,equagesic,antagonist
mianserin,depression,mianserin,norval,antagonist
mianserin,anxiety,mianserin,norval,antagonist
mianserin,depression,mianserin,bolvidon* tetramide*tolvon*bencard*organon,antagonist
mianserin,anxiety,mianserin,bolvidon* tetramide*tolvon*bencard*organon,antagonist
midazolam,epilepsy,midazolam,busulfex,modulator
midazolam,epilepsy,midazolam,seizalam,modulator
midazolam,epilepsy,midazolam,nayzilam,modulator
midazolam,epilepsy,midazolam,buccolam,modulator
nefazodone,depression,nefazodone,nefadar*dutonin,antagonist
nefazodone,depression,nefazodone,serzone* nefazodone hydrochloride,antagonist
nitrazepam,insomnia,nitrazepam,,antagonist
oxazepam,anxiety,oxazepam,,agonist
oxazepam,alcohol addiction,oxazepam,,agonist
oxprenolol,anxiety,oxprenolol,equilibrin*ambivalon,antagonist
oxprenolol,hypertension,oxprenolol,equilibrin*ambivalon,antagonist
oxprenolol,anxiety,oxprenolol,amioxid,antagonist
oxprenolol,hypertension,oxprenolol,amioxid,antagonist
phenelzine,depression,phenelzine,phenelzine sulfate*nardil,inhibitor
phenelzine,anxiety,phenelzine,phenelzine sulfate*nardil,inhibitor
pregabalin,seizures,pregabalin,lyrica,modulator
pregabalin,diabetes,pregabalin,lyrica,modulator
quetiapine,depression,quetiapine,seroquel,agonist
quetiapine,schizophrenia,quetiapine,seroquel,agonist
quetiapine,bipolar disorder,quetiapine,seroquel,agonist
reboxetine,depression,reboxetine,norebox*vestra*prolift*solvex*davedax,inhibitor
reboxetine,depression,reboxetine,edronax,inhibitor
saredutant,depression,saredutant,,antagonist
saredutant,anxiety,saredutant,,antagonist
thioridazine,anxiety,thioridazine,melleril,antagonist
thioridazine,schizophrenia,thioridazine,melleril,antagonist
thioridazine,anxiety,thioridazine,mellaril,antagonist
thioridazine,schizophrenia,thioridazine,mellaril,antagonist
tiagabine,seizures,tiagabine,tiagabine hydrochloride,inhibitor
tiagabine,seizures,tiagabine,gabitril,inhibitor
venlafaxine,depression,venlafaxine,venlafaxine hydrochloride* effexor xr,inhibitor
venlafaxine,anxiety,venlafaxine,venlafaxine hydrochloride* effexor xr,inhibitor
venlafaxine,depression,venlafaxine,effexor,inhibitor
venlafaxine,anxiety,venlafaxine,effexor,inhibitor
amphetamine,attention deficit hyperactivity disorder,amphetamine,adderall,modulator
amphetamine,attention deficit hyperactivity disorder,amphetamine,mydayis,modulator
amphetamine,attention deficit hyperactivity disorder,amphetamine,adzenys,modulator
amphetamine,attention deficit hyperactivity disorder,amphetamine,dyanavel,modulator
amphetamine,attention deficit hyperactivity disorder,amphetamine,evekeo,modulator
atomoxetine,attention deficit hyperactivity disorder,atomoxetine,strattera,inhibitor
clonidine,hypertension,clonidine,kapvay,inhibitor
clonidine,hypertension,clonidine,catapres-tts,inhibitor
clonidine,hypertension,clonidine,duraclon,inhibitor
clonidine,hypertension,clonidine,catapres,inhibitor
clonidine,hypertension,clonidine,catapres-tts-1,inhibitor
clonidine,hypertension,clonidine,kapvay,agonist
clonidine,hypertension,clonidine,catapres-tts,agonist
clonidine,hypertension,clonidine,duraclon,agonist
clonidine,hypertension,clonidine,catapres,agonist
clonidine,hypertension,clonidine,catapres-tts-1,agonist
dexmethylphenidate,attention deficit hyperactivity disorder,dexmethylphenidate,azstarys,inhibitor
dexmethylphenidate,attention deficit hyperactivity disorder,dexmethylphenidate,focalin,inhibitor
guanfacine,attention deficit hyperactivity disorder,guanfacine,intuniv,agonist
guanfacine,attention deficit hyperactivity disorder,guanfacine,tenex,agonist
lisdexamfetamine,attention deficit hyperactivity disorder,lisdexamfetamine,elvanse*lisdexamfetamine dimesylate,modulator
lisdexamfetamine,attention deficit hyperactivity disorder,lisdexamfetamine,vyvanse,modulator
methamphetamine,attention deficit hyperactivity disorder,metamfetamine,desoxyn,antagonist
methamphetamine,attention deficit hyperactivity disorder,metamfetamine,desoxyn,agonist
methylphenidate,attention deficit hyperactivity disorder,methylphenidate,metadate,blocker
methylphenidate,attention deficit hyperactivity disorder,methylphenidate,concerta,blocker
methylphenidate,attention deficit hyperactivity disorder,methylphenidate,foquest,blocker
methylphenidate,attention deficit hyperactivity disorder,methylphenidate,aptensio,blocker
methylphenidate,attention deficit hyperactivity disorder,methylphenidate,quillichew,blocker
methylphenidate,attention deficit hyperactivity disorder,methylphenidate,ritalin,blocker
methylphenidate,attention deficit hyperactivity disorder,methylphenidate,methylin,blocker
methylphenidate,attention deficit hyperactivity disorder,methylphenidate,quillivant,blocker
methylphenidate,attention deficit hyperactivity disorder,methylphenidate,cotempla,blocker
methylphenidate,attention deficit hyperactivity disorder,methylphenidate,adhansia,blocker
methylphenidate,attention deficit hyperactivity disorder,methylphenidate,relexxii,blocker
methylphenidate,attention deficit hyperactivity disorder,methylphenidate,daytrana,blocker
methylphenidate,attention deficit hyperactivity disorder,methylphenidate,biphentin,blocker
methylphenidate,attention deficit hyperactivity disorder,methylphenidate,jornay,blocker
doxycycline,migraine,doxycycline,doxy,modulator
doxycycline,migraine,doxycycline,monodox,modulator
doxycycline,migraine,doxycycline,morgidox,modulator
doxycycline,migraine,doxycycline,acticlate,modulator
doxycycline,migraine,doxycycline,atridox,modulator
doxycycline,migraine,doxycycline,apprilon,modulator
doxycycline,migraine,doxycycline,okebo,modulator
doxycycline,migraine,doxycycline,periostat,modulator
doxycycline,migraine,doxycycline,vibramycin,modulator
doxycycline,migraine,doxycycline,oracea,modulator
doxycycline,migraine,doxycycline,doxycin,modulator
doxycycline,migraine,doxycycline,lymepak,modulator
doxycycline,migraine,doxycycline,targadox,modulator
doxycycline,migraine,doxycycline,adoxa,modulator
doxycycline,migraine,doxycycline,mondoxyne,modulator
doxycycline,migraine,doxycycline,doryx,modulator
doxazosin,hypertension,doxazosin,cardura,antagonist
flumazenil,anesthetic,flumazenil,anexate,modulator
flumazenil,anesthetic,flumazenil,anexate,antagonist
amibegron,depression,amibegron,,agonist
aripiprazole,schizophrenia,aripiprazole,aripiprazole,agonist
aripiprazole,autism spectrum disorder,aripiprazole,aripiprazole,agonist
aripiprazole,schizophrenia,aripiprazole,abilify,agonist
aripiprazole,autism spectrum disorder,aripiprazole,abilify,agonist
cx157,depression,,,inhibitor
cx157,anxiety,,,inhibitor
lamotrigine,depression,lamotrigine,lamictal,blocker
lamotrigine,epilepsy,lamotrigine,lamictal,blocker
lamotrigine,seizures,lamotrigine,lamictal,blocker
lamotrigine,bipolar disorder,lamotrigine,lamictal,blocker
lithium,bipolar disorder,lithium,lithobid,inhibitor
lithium,bipolar disorder,lithium,eskalith-cr,inhibitor
lithium,bipolar disorder,lithium,lithonate,inhibitor
lithium,bipolar disorder,lithium,eskalith,inhibitor
lithium,bipolar disorder,lithium,lithotabs,inhibitor
lithium carbonate,bipolar disorder,lithium carbonate,lithane*lithobid,inhibitor
lithium carbonate,bipolar disorder,lithium carbonate,carbolith* lithmax,inhibitor
lithium citrate,depression,lithium citrate,,inhibitor
lithium citrate,bipolar disorder,lithium citrate,,inhibitor
mn-305,depression,,,agonist
mn-305,anxiety,,,agonist
mn-305,insomnia,,,agonist
ns-2359,depression,,,inhibitor
ns-2359,attention deficit hyperactivity disorder,,,inhibitor
olanzapine,depression,olanzapine,zalasta*symbyax,agonist
olanzapine,schizophrenia,olanzapine,zalasta*symbyax,agonist
olanzapine,bipolar disorder,olanzapine,zalasta*symbyax,agonist
olanzapine,depression,olanzapine,olazax*zypadhera*zyprexa,agonist
olanzapine,schizophrenia,olanzapine,olazax*zypadhera*zyprexa,agonist
olanzapine,bipolar disorder,olanzapine,olazax*zypadhera*zyprexa,agonist
opc-14523,depression,,,modulator
opc-14523,bulimia,,,modulator
opc-14523,obsessive compulsive disorder,,,modulator
docetaxel,cancer,docetaxel,taxotere,inhibitor
tamoxifen,cancer,tamoxifen,,antagonist
bevacizumab,cancer,bevacizumab,avastin,antagonist
bevacizumab,cancer,bevacizumab,avastin,inhibitor
dexrazoxane,cancer,dexrazoxane,totect,modulator
dexrazoxane,cancer,dexrazoxane,savene,modulator
dexrazoxane,cancer,dexrazoxane,zinecard,modulator
dexrazoxane,cancer,dexrazoxane,totect,inhibitor
dexrazoxane,cancer,dexrazoxane,savene,inhibitor
dexrazoxane,cancer,dexrazoxane,zinecard,inhibitor
hydroxyzine,anxiety,hydroxyzine,atarax,antagonist
hydroxyzine,anxiety,hydroxyzine,vistaril,antagonist
botulinum toxin type a,stroke,botulinum toxin type a,xeomin,inhibitor
botulinum toxin type a,migraine,botulinum toxin type a,xeomin,inhibitor
botulinum toxin type a,diabetes,botulinum toxin type a,xeomin,inhibitor
botulinum toxin type a,stroke,botulinum toxin type a,botox cosmetic,inhibitor
botulinum toxin type a,migraine,botulinum toxin type a,botox cosmetic,inhibitor
botulinum toxin type a,diabetes,botulinum toxin type a,botox cosmetic,inhibitor
botulinum toxin type a,stroke,botulinum toxin type a,botox,inhibitor
botulinum toxin type a,migraine,botulinum toxin type a,botox,inhibitor
botulinum toxin type a,diabetes,botulinum toxin type a,botox,inhibitor
botulinum toxin type a,stroke,botulinum toxin type a,daxxify,inhibitor
botulinum toxin type a,migraine,botulinum toxin type a,daxxify,inhibitor
botulinum toxin type a,diabetes,botulinum toxin type a,daxxify,inhibitor
botulinum toxin type a,stroke,botulinum toxin type a,dysport,inhibitor
botulinum toxin type a,migraine,botulinum toxin type a,dysport,inhibitor
botulinum toxin type a,diabetes,botulinum toxin type a,dysport,inhibitor
botulinum toxin type a,stroke,botulinum toxin type a,jeuveau,inhibitor
botulinum toxin type a,migraine,botulinum toxin type a,jeuveau,inhibitor
botulinum toxin type a,diabetes,botulinum toxin type a,jeuveau,inhibitor
ethinylestradiol,menopausal conditions,ethinylestradiol,triquilar,modulator
ethinylestradiol,contraceptive,ethinylestradiol,triquilar,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,dasetta 7/7/7 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,dasetta 7/7/7 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,femynor 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,femynor 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,femhrt 0.5/2.5 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,femhrt 0.5/2.5 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,cyestra-35,modulator
ethinylestradiol,contraceptive,ethinylestradiol,cyestra-35,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,emoquette,modulator
ethinylestradiol,contraceptive,ethinylestradiol,emoquette,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,microgestin 1/20 21 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,microgestin 1/20 21 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,cyred 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,cyred 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,mibelas 24 fe chewable 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,mibelas 24 fe chewable 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,kaitlib fe 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,kaitlib fe 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,tyblume 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,tyblume 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,pirmella 1/35 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,pirmella 1/35 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,marlissa 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,marlissa 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,tri-lo-marzia 28-day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,tri-lo-marzia 28-day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,cléo -35,modulator
ethinylestradiol,contraceptive,ethinylestradiol,cléo -35,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,junel 1/20 21 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,junel 1/20 21 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,nexesta fe 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,nexesta fe 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,trinessa lo 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,trinessa lo 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,vestura,modulator
ethinylestradiol,contraceptive,ethinylestradiol,vestura,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,indayo,modulator
ethinylestradiol,contraceptive,ethinylestradiol,indayo,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,alesse,modulator
ethinylestradiol,contraceptive,ethinylestradiol,alesse,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,enpresse 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,enpresse 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,aurovela,modulator
ethinylestradiol,contraceptive,ethinylestradiol,aurovela,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,merzee 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,merzee 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,tri femynor 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,tri femynor 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,tri-legest 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,tri-legest 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,junel 1.5/30 21 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,junel 1.5/30 21 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,delyla 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,delyla 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,quartette 91 day pack,modulator
ethinylestradiol,contraceptive,ethinylestradiol,quartette 91 day pack,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,blisovi 21 fe 1.5/30 28 day pack,modulator
ethinylestradiol,contraceptive,ethinylestradiol,blisovi 21 fe 1.5/30 28 day pack,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,myzilra 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,myzilra 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,tri-previfem 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,tri-previfem 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,tri-linyah,modulator
ethinylestradiol,contraceptive,ethinylestradiol,tri-linyah,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,lojaimiess,modulator
ethinylestradiol,contraceptive,ethinylestradiol,lojaimiess,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,amethyst,modulator
ethinylestradiol,contraceptive,ethinylestradiol,amethyst,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,hailey 1.5/30 21 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,hailey 1.5/30 21 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,gianvi 28-day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,gianvi 28-day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,nylia 1/35 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,nylia 1/35 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,tri-nymyo 28 day pack,modulator
ethinylestradiol,contraceptive,ethinylestradiol,tri-nymyo 28 day pack,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,trinessa 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,trinessa 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,bekyree 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,bekyree 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,previfem 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,previfem 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,altavera 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,altavera 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,larin 24 fe 1/20,modulator
ethinylestradiol,contraceptive,ethinylestradiol,larin 24 fe 1/20,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,vyfemla 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,vyfemla 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,dasetta 1/35 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,dasetta 1/35 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,seasonale,modulator
ethinylestradiol,contraceptive,ethinylestradiol,seasonale,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,wymzya fe 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,wymzya fe 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,balcoltra 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,balcoltra 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,lolo,modulator
ethinylestradiol,contraceptive,ethinylestradiol,lolo,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,estarylla 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,estarylla 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,juleber 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,juleber 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,zovia 1/50e 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,zovia 1/50e 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,ashlyna 91 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,ashlyna 91 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,camrese 91 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,camrese 91 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,jasmiel 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,jasmiel 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,nymyo 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,nymyo 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,iclevia 91 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,iclevia 91 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,gemmily 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,gemmily 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,cyclafem 1/35 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,cyclafem 1/35 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,mircette 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,mircette 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,lo loestrin fe 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,lo loestrin fe 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,afirmelle 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,afirmelle 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,layolis fe 28,modulator
ethinylestradiol,contraceptive,ethinylestradiol,layolis fe 28,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,nortrel 1/35 21 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,nortrel 1/35 21 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,dolishale 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,dolishale 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,zenchent,modulator
ethinylestradiol,contraceptive,ethinylestradiol,zenchent,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,microgestin fe 1/20 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,microgestin fe 1/20 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,velivet 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,velivet 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,volnea 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,volnea 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,trivora 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,trivora 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,azurette 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,azurette 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,finzala 24 fe chewable 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,finzala 24 fe chewable 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,larin 1.5/30,modulator
ethinylestradiol,contraceptive,ethinylestradiol,larin 1.5/30,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,elinest 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,elinest 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,mono-linyah 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,mono-linyah 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,cyclafem 7/7/7 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,cyclafem 7/7/7 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,tarina fe 1/20 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,tarina fe 1/20 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,introvale 91 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,introvale 91 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,wera 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,wera 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,isibloom 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,isibloom 28 day,modulator
ethinylestradiol,menopausal conditions,ethinylestradiol,low-ogestrel 28 day,modulator
ethinylestradiol,contraceptive,ethinylestradiol,low-ogestrel 28 day,modulator
